#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.87,0.00
1,1000,7.89,0.13
2,1000,7.84,0.26
4,1000,7.85,0.51
8,1000,7.86,1.02
16,1000,7.84,2.04
32,1000,7.85,4.07
64,1000,8.09,7.91
128,1000,8.09,15.81
256,1000,8.15,31.40
512,1000,10.07,50.84
1024,1000,10.09,101.49
2048,1000,10.41,196.76
4096,1000,11.51,355.76
8192,1000,13.10,625.32
16384,1000,23.03,711.31
32768,1000,34.90,938.99
65536,640,55.81,1174.29
131072,320,102.86,1274.32
262144,160,109.26,2399.35
524288,80,170.10,3082.26
1048576,40,312.75,3352.77
2097152,20,620.41,3380.24
4194304,10,1226.08,3420.91
8388608,5,2443.16,3433.50
16777216,2,4857.67,3453.76
33554432,1,10339.98,3245.12
67108864,1,20818.40,3223.54
134217728,1,40819.22,3288.10
268435456,1,81789.57,3282.03
