#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.39,0.00
1,1000,5.46,0.18
2,1000,5.47,0.37
4,1000,5.48,0.73
8,1000,5.45,1.47
16,1000,5.45,2.94
32,1000,5.49,5.83
64,1000,5.47,11.71
128,1000,5.55,23.07
256,1000,5.60,45.73
512,1000,5.63,91.00
1024,1000,6.28,163.10
2048,1000,6.12,334.58
4096,1000,7.05,581.24
8192,1000,7.56,1084.28
16384,1000,9.70,1688.64
32768,1000,15.72,2084.50
65536,640,29.58,2215.58
131072,320,39.74,3298.00
262144,160,54.20,4836.21
524288,80,86.57,6056.14
1048576,40,150.71,6957.65
2097152,20,289.34,7247.94
4194304,10,573.87,7308.75
8388608,5,1441.62,5818.87
16777216,2,3148.88,5328.00
33554432,1,6345.26,5288.11
67108864,1,12723.64,5274.34
134217728,1,25237.93,5318.10
268435456,1,50229.75,5344.15
